uuid,vorname,nachname,geschlecht,geburtsjahr,todesjahr,vater,mutter,letzter_partner,erbfolge,kinderzahl,kinder,herkunft,kisatris_primogen,amtsantritt,comment,erbfolge_geburt
0,Elisabeth Eleonore,von Bergetal,f,-572,-521,,,,16,0,,BT,Z,-550,,
1,Elise Anna,von Möwenburg,f,-538,-445,,,101,18,3,"11,13,102,",MB,Z,-500,,
2,Niroi Jacques,von Kisatris,m,-527,-431,,,13,21,6,"12,104,109,111,193,207,",KS,A,-500,,
3,Johann Justus,von Tiefenfels,m,-531,-458,,,125,24,4,"11,13,118,126,",TF,Z,-500,,
4,Elisabeth Nelania,von Bergetal,f,-548,-434,,0,22,16,1,"14,",BT,Z,-500,,
5,Natalie ,von Eichenwald,f,-520,-440,,,13,18,4,"15,107,116,133,",EW,Z,-500,,
11,Eleonore Marianne,von Möwenburg,f,-511,-449,3,1,141,18,5,"121,128,142,170,239,",MB,Z,,,
12,Niroi Christian,von Kisatris,m,-508,-451,2,21,173,21,6,"130,146,150,162,221,309,",KS,AA,,,
13,Friederike,von Tiefenfels,f,-505,-446,3,1,141,24,8,"133,137,140,142,192,207,216,302,",TF,Z,-457,,
14,Magdalena,von Bergetal,f,-502,-426,22,4,263,16,4,"140,169,246,264,",BT,Z,-433,,
15,Clara Christine Marianne ,von Eichenwald,f,-500,-446,23,5,273,18,6,"164,170,182,193,194,274,",EW,Z,,,
21,Katharina,Richter,f,-520,-428,,,2,,1,"12,",MU,Z,,,
22,Friedrich,Hahn,m,-542,-430,,,4,,1,"14,",MU,Z,,,
23,Hans Michael,Schreiber,m,-522,-442,,,5,,1,"15,",MU,Z,,,
101,Amon Adam Ole Alrich,Voß,m,-538,-500,,,1,,1,"102,",MU,Z,,,
102,Amon Fritz,von Möwenburg,m,-500,-459,101,1,143,18,1,"144,",MB,Z,,,1
103,Zoe Charlotte,Gräfin von Houle,f,-527,-473,,,2,,1,"104,",KS,Z,,,
104,Niroi Jacques,von Kisatris,m,-500,-425,2,103,205,21,4,"146,152,157,206,",KS,AB,,,1
105,Louis Christoph Christian,Freiherr von Lamer,m,-548,-500,,,,,0,,KS,Z,,,
106,Gustav Philipp,Baron von  Lepain,m,-520,-500,,,5,,1,"107,",KS,Z,,,
107,Nelenia,von Eichenwald,f,-500,-448,106,5,217,18,4,"154,186,216,218,",EW,Z,,,1
108,Helene Ida Caroline,Freiin von Lamer,f,-527,-472,,,2,,1,"109,",KS,Z,,,
109,Marie Jade,von Kisatris,f,-499,-449,2,108,213,21,5,"159,173,178,194,214,",KS,AC,,,1
110,Friederike Julie,Freiin von Sante,f,-527,-498,,,2,,1,"111,",KS,Z,,,
111,Jacques Franc Jules,von Kisatris,m,-498,-470,2,110,187,21,2,"175,188,",KS,AD,,,1
112,Dis Joseph Hans Fritz,Anders,m,-548,-498,,,,,0,,BT,Z,,,
113,Arwen Elurin,Stock,f,-531,-497,,,,,0,,EW,Z,,,
114,Heinrich Theodor,Apel,m,-548,-497,,,,,0,,EW,Z,,,
115,August,Kubiak,m,-520,-495,,,5,,1,"116,",TF,Z,,,
116,August Caspar Elurin Kiirion,von Eichenwald,m,-495,-470,115,5,179,18,2,"180,183,",EW,Z,,,1
117,Juliane Barbara Karoline Frieda,Wolff,f,-531,-478,,,3,,1,"118,",BT,Z,,,
118,Justus Leo Bernhard,von Tiefenfels,m,-494,-477,3,117,,24,0,,TF,Z,,,1
119,Ernst,Schultz,m,-548,-494,,,,,0,,TF,Z,,,
120,Dis Erlan,Gabriel,m,-511,-478,,,11,,1,"121,",BT,Z,,,
121,Eike Helene,von Möwenburg,f,-492,-485,120,11,,18,0,,MB,Z,,,1
122,Sibylle Therese,Freifrau von Sante,f,-531,-475,,,,,0,,KS,Z,,,
123,Georg Christian,Sievers,m,-511,-488,,,,,0,,MB,Z,,,
124,Julie Elise,Freifrau von Maree,f,-508,-487,,,,,0,,KS,Z,,,
125,Sophia,Hamm,f,-531,-489,,,3,,1,"126,",MB,Z,,,
126,Frieda,von Tiefenfels,f,-489,-483,3,125,,24,0,,TF,Z,,,1
127,Peer Ludwig,Reichelt,m,-511,-489,,,11,,1,"128,",MB,Z,,,
128,Sophia Sibylle Maria,von Möwenburg,f,-489,-485,127,11,,18,0,,MB,Z,,,1
129,Caroline Jade,Gräfin von Aigul,f,-508,-489,,,12,,1,"130,",KS,Z,,,
130,Christian Clement Martin,von Kisatris,m,-489,-392,12,129,226,20,7,"198,290,313,329,338,532,544,",KS,AAA,-430,Amtsantritt nach Primogenität,1
131,Dis Paul Hubertus,Frey,m,-548,-485,,,,,0,,BT,Z,,,
132,Clara Katharina,von Eichenwald,f,-487,-476,5,13,,18,0,,EW,Z,,,1
133,Elohir,von Eichenwald,m,-487,-478,5,13,,18,0,,EW,Z,,,1
134,Ole Johannes,Pfeffer,m,-520,-477,,,,,0,,MU,Z,,,
135,Nils Karl,Buschmann,m,-505,-436,,,,,0,,MB,Z,,,
136,Julius,Evers,m,-505,-462,,,13,,1,"137,",TF,Z,,,
